,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,59893.0,0.00010535699948377442,"[0, 17, 4, 27, 48, 0, 6, 6, 34, 28, 16, 44, 29, 6, 22, 31, 46, 48, 27, 28, 39, 40, 15, 30, 2, 18, 18, 42, 21, 25, 28, 34, 27, 34, 45, 42, 28, 49, 21, 6, 47, 16, 37, 44, 13, 22, 28, 12, 21, 26, 22, 2, 44, 21, 36, 7, 35, 0, 3, 3, 43, 28, 15, 47, 32, 2, 49, 43, 38, 14, 19, 45, 25, 28, 1, 23, 2, 1, 10, 3, 12, 21, 32, 4, 15, 44, 46, 49, 35, 14, 16, 35, 32, 39, 4, 32, 17, 28, 16, 37]",0,901,0
1,1,60061.0,0.0005319310002960265,"[0, 17, 4, 27, 48, 0, 6, 6, 34, 28, 16, 44, 29, 6, 22, 31, 46, 48, 27, 28, 39, 40, 15, 30, 2, 18, 18, 42, 21, 25, 28, 34, 27, 34, 45, 42, 28, 49, 21, 6, 47, 16, 37, 44, 13, 22, 28, 12, 21, 26, 22, 2, 44, 21, 36, 7, 35, 0, 3, 3, 43, 28, 15, 47, 32, 2, 49, 43, 38, 14, 19, 45, 25, 28, 1, 23, 2, 1, 10, 3, 12, 21, 32, 4, 15, 44, 46, 49, 35, 14, 44, 35, 32, 39, 4, 32, 17, 28, 16, 37]",0,901,0
2,101,70636.0,0.011991882000074838,"[48, 17, 34, 27, 48, 0, 6, 6, 34, 30, 16, 44, 36, 6, 22, 31, 48, 48, 27, 34, 39, 40, 25, 41, 2, 36, 18, 42, 21, 31, 28, 46, 37, 34, 45, 48, 28, 49, 21, 6, 47, 16, 37, 44, 13, 22, 43, 12, 21, 26, 33, 48, 44, 38, 36, 43, 35, 0, 42, 29, 43, 37, 15, 47, 32, 2, 49, 49, 39, 23, 19, 45, 25, 28, 49, 23, 46, 1, 10, 29, 12, 21, 32, 29, 15, 45, 46, 49, 44, 14, 44, 35, 48, 39, 4, 32, 17, 28, 16, 37]",0,901,0
3,201,70902.0,0.024210554000092088,"[48, 17, 34, 27, 48, 0, 6, 6, 34, 30, 16, 44, 42, 6, 22, 31, 48, 48, 27, 34, 39, 40, 25, 41, 2, 36, 18, 42, 21, 31, 28, 46, 37, 34, 45, 48, 28, 49, 21, 6, 47, 16, 37, 44, 13, 22, 43, 12, 21, 26, 33, 48, 44, 38, 36, 43, 35, 0, 43, 29, 43, 37, 15, 47, 32, 2, 49, 49, 39, 23, 19, 45, 25, 28, 49, 23, 46, 1, 10, 29, 26, 21, 32, 29, 15, 45, 46, 49, 44, 14, 44, 35, 48, 39, 4, 32, 17, 28, 16, 37]",0,901,0
4,301,70902.0,0.037752586000351585,"[48, 17, 34, 27, 48, 0, 6, 6, 34, 30, 16, 44, 42, 6, 22, 31, 48, 48, 27, 34, 39, 40, 25, 41, 2, 36, 18, 42, 21, 31, 28, 46, 37, 34, 45, 48, 28, 49, 21, 6, 47, 16, 37, 44, 13, 22, 43, 12, 21, 26, 33, 48, 44, 38, 36, 43, 35, 0, 43, 29, 43, 37, 15, 47, 32, 2, 49, 49, 39, 23, 19, 45, 25, 28, 49, 23, 46, 1, 10, 29, 26, 21, 32, 29, 15, 45, 46, 49, 44, 14, 44, 35, 48, 39, 4, 32, 17, 28, 16, 37]",0,901,0
5,401,70902.0,0.05303560199899948,"[48, 17, 34, 27, 48, 0, 6, 6, 34, 30, 16, 44, 42, 6, 22, 31, 48, 48, 27, 34, 39, 40, 25, 41, 2, 36, 18, 42, 21, 31, 28, 46, 37, 34, 45, 48, 28, 49, 21, 6, 47, 16, 37, 44, 13, 22, 43, 12, 21, 26, 33, 48, 44, 38, 36, 43, 35, 0, 43, 29, 43, 37, 15, 47, 32, 2, 49, 49, 39, 23, 19, 45, 25, 28, 49, 23, 46, 1, 10, 29, 26, 21, 32, 29, 15, 45, 46, 49, 44, 14, 44, 35, 48, 39, 4, 32, 17, 28, 16, 37]",0,901,0
6,501,70902.0,0.0690914070000872,"[48, 17, 34, 27, 48, 0, 6, 6, 34, 30, 16, 44, 42, 6, 22, 31, 48, 48, 27, 34, 39, 40, 25, 41, 2, 36, 18, 42, 21, 31, 28, 46, 37, 34, 45, 48, 28, 49, 21, 6, 47, 16, 37, 44, 13, 22, 43, 12, 21, 26, 33, 48, 44, 38, 36, 43, 35, 0, 43, 29, 43, 37, 15, 47, 32, 2, 49, 49, 39, 23, 19, 45, 25, 28, 49, 23, 46, 1, 10, 29, 26, 21, 32, 29, 15, 45, 46, 49, 44, 14, 44, 35, 48, 39, 4, 32, 17, 28, 16, 37]",0,901,0
7,601,70902.0,0.08666382899900782,"[48, 17, 34, 27, 48, 0, 6, 6, 34, 30, 16, 44, 42, 6, 22, 31, 48, 48, 27, 34, 39, 40, 25, 41, 2, 36, 18, 42, 21, 31, 28, 46, 37, 34, 45, 48, 28, 49, 21, 6, 47, 16, 37, 44, 13, 22, 43, 12, 21, 26, 33, 48, 44, 38, 36, 43, 35, 0, 43, 29, 43, 37, 15, 47, 32, 2, 49, 49, 39, 23, 19, 45, 25, 28, 49, 23, 46, 1, 10, 29, 26, 21, 32, 29, 15, 45, 46, 49, 44, 14, 44, 35, 48, 39, 4, 32, 17, 28, 16, 37]",0,901,0
8,701,70902.0,0.09793236199948296,"[48, 17, 34, 27, 48, 0, 6, 6, 34, 30, 16, 44, 42, 6, 22, 31, 48, 48, 27, 34, 39, 40, 25, 41, 2, 36, 18, 42, 21, 31, 28, 46, 37, 34, 45, 48, 28, 49, 21, 6, 47, 16, 37, 44, 13, 22, 43, 12, 21, 26, 33, 48, 44, 38, 36, 43, 35, 0, 43, 29, 43, 37, 15, 47, 32, 2, 49, 49, 39, 23, 19, 45, 25, 28, 49, 23, 46, 1, 10, 29, 26, 21, 32, 29, 15, 45, 46, 49, 44, 14, 44, 35, 48, 39, 4, 32, 17, 28, 16, 37]",0,901,0
9,801,70902.0,0.09793236199948296,"[48, 17, 34, 27, 48, 0, 6, 6, 34, 30, 16, 44, 42, 6, 22, 31, 48, 48, 27, 34, 39, 40, 25, 41, 2, 36, 18, 42, 21, 31, 28, 46, 37, 34, 45, 48, 28, 49, 21, 6, 47, 16, 37, 44, 13, 22, 43, 12, 21, 26, 33, 48, 44, 38, 36, 43, 35, 0, 43, 29, 43, 37, 15, 47, 32, 2, 49, 49, 39, 23, 19, 45, 25, 28, 49, 23, 46, 1, 10, 29, 26, 21, 32, 29, 15, 45, 46, 49, 44, 14, 44, 35, 48, 39, 4, 32, 17, 28, 16, 37]",0,901,0
